"from_airport";"to_airport";"departure_time";"arrival_time";"flight_number";"price"
"Prague";"London";2017-07-01 17:56:00;2017-07-01 20:26:00;"FN297";5244
"Vienna";"London";2017-07-01 15:37:00;2017-07-01 18:07:00;"FN367";9315
"Milan";"London";2017-07-01 13:29:00;2017-07-01 15:59:00;"FN373";13840
"London";"Prague";2017-07-01 14:35:00;2017-07-01 17:05:00;"FN277";7628
"Vienna";"Prague";2017-07-01 21:59:00;2017-07-02 00:29:00;"FN310";5171
"Milan";"Prague";2017-07-01 10:07:00;2017-07-01 12:37:00;"FN267";5477
"London";"Vienna";2017-07-01 06:52:00;2017-07-01 09:22:00;"FN338";10345
"Prague";"Vienna";2017-07-01 12:31:00;2017-07-01 15:01:00;"FN389";15672
"Milan";"Vienna";2017-07-01 18:18:00;2017-07-01 20:48:00;"FN343";7492
"London";"Milan";2017-07-01 20:45:00;2017-07-01 23:15:00;"FN356";10654
"Prague";"Milan";2017-07-01 08:16:00;2017-07-01 10:46:00;"FN363";9196
"Vienna";"Milan";2017-07-01 11:28:00;2017-07-01 13:58:00;"FN299";9823
"Prague";"London";2017-07-02 17:56:00;2017-07-02 20:26:00;"FN297";5576
"Vienna";"London";2017-07-02 15:37:00;2017-07-02 18:07:00;"FN367";2415
"Milan";"London";2017-07-02 13:29:00;2017-07-02 15:59:00;"FN373";5180
"London";"Prague";2017-07-02 14:35:00;2017-07-02 17:05:00;"FN277";1618
"Vienna";"Prague";2017-07-02 21:59:00;2017-07-03 00:29:00;"FN310";13329
"Milan";"Prague";2017-07-02 10:07:00;2017-07-02 12:37:00;"FN267";16576
"London";"Vienna";2017-07-02 06:52:00;2017-07-02 09:22:00;"FN338";1760
"Prague";"Vienna";2017-07-02 12:31:00;2017-07-02 15:01:00;"FN389";10262
"Milan";"Vienna";2017-07-02 18:18:00;2017-07-02 20:48:00;"FN343";16114
"London";"Milan";2017-07-02 20:45:00;2017-07-02 23:15:00;"FN356";11247
"Prague";"Milan";2017-07-02 08:16:00;2017-07-02 10:46:00;"FN363";13485
"Vienna";"Milan";2017-07-02 11:28:00;2017-07-02 13:58:00;"FN299";2034
"Prague";"London";2017-07-03 17:56:00;2017-07-03 20:26:00;"FN297";11601
"Vienna";"London";2017-07-03 15:37:00;2017-07-03 18:07:00;"FN367";4377
