"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani"
"1120 Nejvyssi predstavitele spolecnosti (kr.politickych,zajmovych a pribuznych organizaci)";9.6787;50791.0988;19983.6037;29886.6417;104059.1329;223018.2585;99313.4613;27.81;0.78;5.55;171.6382;"1120";"Nejvyssi predstavitele spolecnosti (kr.politickych,zajmovych a pribuznych organizaci)"
"1211 ridici pracovnici v oblasti financi (krome financnich a pojistovacich sluzeb)";8.2104;61428.4008;27814.8413;37731.4581;103263.6517;175571.9215;87311.0535;23.79;0.99;6;171.2075;"1211";"ridici pracovnici v oblasti financi (krome financnich a pojistovacich sluzeb)"
"1212 ridici pracovnici v oblasti lidskych zdroju";2.3339;70830.6826;31377.8792;45432.6981;103850.6326;169879.2768;90690.7358;21.71;1.51;6.13;170.3982;"1212";"ridici pracovnici v oblasti lidskych zdroju"
"1219 Ostatni ridici pracovnici spravy podniku, administrativnich a podpurnych cinnosti ";7.0189;51198.3278;24338.8874;34749.2814;80138.957;122706.442;67390.9734;23.52;1.71;6.06;170.6934;"1219";"Ostatni ridici pracovnici spravy podniku, administrativnich a podpurnych cinnosti "
"1221 ridici pracovnici v oblasti obchodu, marketingu a v pribuznych oblastech ";17.1181;50456.8328;17774.9165;27752.3416;90618.2629;155856.3826;74048.8515;24.65;1.16;5.9;171.7808;"1221";"ridici pracovnici v oblasti obchodu, marketingu a v pribuznych oblastech "
"1222 ridici pracovnici v oblasti reklamy a styku s verejnosti ";0.1971;82202.828;38248.636;51254.5546;135795.487;218968.1326;108677.1674;25.83;2.29;5.9;169.421;"1222";"ridici pracovnici v oblasti reklamy a styku s verejnosti "
"1223 ridici pracovnici v oblasti vyzkumu a vyvoje";4.0736;66985.6735;34807.1432;46662.7603;88971.4093;135275.0227;79812.6021;22.98;1.13;5.75;169.9694;"1223";"ridici pracovnici v oblasti vyzkumu a vyvoje"
"1311 ridici pracovnici v zemedelstvi, lesnictvi, myslivosti a v oblasti zivotniho prostredi ";2.8115;36873.9097;24249.0829;28260.8929;49426.1901;63622.958;42061.79;20.29;0.74;6.92;172.3477;"1311";"ridici pracovnici v zemedelstvi, lesnictvi, myslivosti a v oblasti zivotniho prostredi "
"1321 ridici pracovnici v prumyslove vyrobe";19.8071;51764.5081;19974.4944;32460.8428;79836.299;128472.8155;68648.6997;24.22;1.46;5.52;170.3187;"1321";"ridici pracovnici v prumyslove vyrobe"
"1322 ridici pracovnici v tezbe a geologii";0.3238;61186.6903;40277.4825;48217.6005;97067.1219;136951.0407;87680.0802;29.15;2.41;8.32;165.6569;"1322";"ridici pracovnici v tezbe a geologii"
"1323 ridici pracovnici ve stavebnictvi a zememerictvi";9.9751;37410.627;17296.863;25777.9075;51624.8491;82776.7416;46400.3818;24;1.24;6.75;173.7817;"1323";"ridici pracovnici ve stavebnictvi a zememerictvi"
"1324 ridici pracovnici v doprave, logistice a pribuznych oborech";9.2714;46752.2197;23053.3081;33013.1208;70250.8508;109971.1094;60045.9666;20.4;1.47;7.23;170.2072;"1324";"ridici pracovnici v doprave, logistice a pribuznych oborech"
"1330 ridici pracovnici v oblasti informacnich a komunikacnich technologii";5.9654;61505.1794;14649.9143;33687.2956;102356.4103;162858.0025;79965.9009;20.54;2.77;5.57;172.398;"1330";"ridici pracovnici v oblasti informacnich a komunikacnich technologii"
"1342 ridici pracovnici v oblasti zdravotnictvi";2.0072;58117.0935;30395.4349;37003.4132;87881.5943;121897.459;66892.3171;15.49;7.63;7.15;175.973;"1342";"ridici pracovnici v oblasti zdravotnictvi"
"1345 ridici pracovnici v oblasti vzdelavani";0.8342;43269.9593;26540.7962;33639.4771;57825.6005;86645.4222;51620.3661;24.09;4.7;6.13;173.4729;"1345";"ridici pracovnici v oblasti vzdelavani"
"1346 ridici pracovnici v oblasti financnich a pojistovacich sluzeb";4.4928;81896.8714;32028.8185;53117.064;153213.5791;247268.1473;121861.369;32.46;3.06;6.11;172.4941;"1346";"ridici pracovnici v oblasti financnich a pojistovacich sluzeb"
"1349 ridici pracovnici knihoven, muzei, v oblasti prava a bezpecnosti a v dalsich oblastech";1.1353;42550.9413;17993.0946;24728.0415;63372.3292;104297.6705;58739.2934;24.66;2.18;6.44;170.8783;"1349";"ridici pracovnici knihoven, muzei, v oblasti prava a bezpecnosti a v dalsich oblastech"
"1411 ridici pracovnici v oblasti ubytovacich sluzeb";0.4652;33416.745;20122.204;27165.4766;47838.6218;64870.2545;40292.8841;14.82;1.62;7.94;173.0348;"1411";"ridici pracovnici v oblasti ubytovacich sluzeb"
"1420 ridici pracovnici v maloobchode a velkoobchode";16.2043;27983.3253;11933.7005;19596.9395;45895.4035;70764.7382;39072.5312;18.93;2.28;6.93;173.477;"1420";"ridici pracovnici v maloobchode a velkoobchode"
"1439 ridici pracovnici cestovnich kancelari,nemovitosti,opravarenskych,osobnich aj. sluzeb";6.8742;27044.5804;11964.5219;21716.2797;36631.506;56277.4994;32896.0541;13.45;0.27;7.17;177.4281;"1439";"ridici pracovnici cestovnich kancelari,nemovitosti,opravarenskych,osobnich aj. sluzeb"
