"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani";"Dataset"
"1";"1120 Nejvyssi predstavitele spolecnosti (kr.politickych,zajmovych a pribuznych organizaci)";9679;50792;19984;29887;104060;223019;99314;27.81;0.78;5.55;171.6382;"1120";"Nejvyssi Predstavitele Spolecnosti (kr.politickych,zajmovych A Pribuznych Organizaci)";"Soukroma sfera"
"2";"1211 ridici pracovnici v oblasti financi (krome financnich a pojistovacich sluzeb)";8211;61429;27815;37732;103264;175572;87312;23.79;0.99;6;171.2075;"1211";"Ridici Pracovnici V Oblasti Financi (krome Financnich A Pojistovacich Sluzeb)";"Soukroma sfera"
"3";"1212 ridici pracovnici v oblasti lidskych zdroju";2334;70831;31378;45433;103851;169880;90691;21.71;1.51;6.13;170.3982;"1212";"Ridici Pracovnici V Oblasti Lidskych Zdroju";"Soukroma sfera"
"4";"1219 Ostatni ridici pracovnici spravy podniku, administrativnich a podpurnych cinnosti ";7019;51199;24339;34750;80139;122707;67391;23.52;1.71;6.06;170.6934;"1219";"Ostatni Ridici Pracovnici Spravy Podniku, Administrativnich A Podpurnych Cinnosti";"Soukroma sfera"
"5";"1221 ridici pracovnici v oblasti obchodu, marketingu a v pribuznych oblastech ";17119;50457;17775;27753;90619;155857;74049;24.65;1.16;5.9;171.7808;"1221";"Ridici Pracovnici V Oblasti Obchodu, Marketingu A V Pribuznych Oblastech";"Soukroma sfera"
"6";"1222 ridici pracovnici v oblasti reklamy a styku s verejnosti ";198;82203;38249;51255;135796;218969;108678;25.83;2.29;5.9;169.421;"1222";"Ridici Pracovnici V Oblasti Reklamy A Styku S Verejnosti";"Soukroma sfera"
"7";"1223 ridici pracovnici v oblasti vyzkumu a vyvoje";4074;66986;34808;46663;88972;135276;79813;22.98;1.13;5.75;169.9694;"1223";"Ridici Pracovnici V Oblasti Vyzkumu A Vyvoje";"Soukroma sfera"
"8";"1311 ridici pracovnici v zemedelstvi, lesnictvi, myslivosti a v oblasti zivotniho prostredi ";2812;36874;24250;28261;49427;63623;42062;20.29;0.74;6.92;172.3477;"1311";"Ridici Pracovnici V Zemedelstvi, Lesnictvi, Myslivosti A V Oblasti Zivotniho Prostredi";"Soukroma sfera"
"9";"1321 ridici pracovnici v prumyslove vyrobe";19808;51765;19975;32461;79837;128473;68649;24.22;1.46;5.52;170.3187;"1321";"Ridici Pracovnici V Prumyslove Vyrobe";"Soukroma sfera"
"10";"1322 ridici pracovnici v tezbe a geologii";324;61187;40278;48218;97068;136952;87681;29.15;2.41;8.32;165.6569;"1322";"Ridici Pracovnici V Tezbe A Geologii";"Soukroma sfera"
"11";"1323 ridici pracovnici ve stavebnictvi a zememerictvi";9976;37411;17297;25778;51625;82777;46401;24;1.24;6.75;173.7817;"1323";"Ridici Pracovnici Ve Stavebnictvi A Zememerictvi";"Soukroma sfera"
"12";"1324 ridici pracovnici v doprave, logistice a pribuznych oborech";9272;46753;23054;33014;70251;109972;60046;20.4;1.47;7.23;170.2072;"1324";"Ridici Pracovnici V Doprave, Logistice A Pribuznych Oborech";"Soukroma sfera"
"13";"1330 ridici pracovnici v oblasti informacnich a komunikacnich technologii";5966;61506;14650;33688;102357;162859;79966;20.54;2.77;5.57;172.398;"1330";"Ridici Pracovnici V Oblasti Informacnich A Komunikacnich Technologii";"Soukroma sfera"
"14";"1342 ridici pracovnici v oblasti zdravotnictvi";2008;58118;30396;37004;87882;121898;66893;15.49;7.63;7.15;175.973;"1342";"Ridici Pracovnici V Oblasti Zdravotnictvi";"Soukroma sfera"
"15";"1345 ridici pracovnici v oblasti vzdelavani";835;43270;26541;33640;57826;86646;51621;24.09;4.7;6.13;173.4729;"1345";"Ridici Pracovnici V Oblasti Vzdelavani";"Soukroma sfera"
"16";"1346 ridici pracovnici v oblasti financnich a pojistovacich sluzeb";4493;81897;32029;53118;153214;247269;121862;32.46;3.06;6.11;172.4941;"1346";"Ridici Pracovnici V Oblasti Financnich A Pojistovacich Sluzeb";"Soukroma sfera"
"17";"1349 ridici pracovnici knihoven, muzei, v oblasti prava a bezpecnosti a v dalsich oblastech";1136;42551;17994;24729;63373;104298;58740;24.66;2.18;6.44;170.8783;"1349";"Ridici Pracovnici Knihoven, Muzei, V Oblasti Prava A Bezpecnosti A V Dalsich Oblastech";"Soukroma sfera"
"18";"1411 ridici pracovnici v oblasti ubytovacich sluzeb";466;33417;20123;27166;47839;64871;40293;14.82;1.62;7.94;173.0348;"1411";"Ridici Pracovnici V Oblasti Ubytovacich Sluzeb";"Soukroma sfera"
"19";"1420 ridici pracovnici v maloobchode a velkoobchode";16205;27984;11934;19597;45896;70765;39073;18.93;2.28;6.93;173.477;"1420";"Ridici Pracovnici V Maloobchode A Velkoobchode";"Soukroma sfera"
"20";"1439 ridici pracovnici cestovnich kancelari,nemovitosti,opravarenskych,osobnich aj. sluzeb";6875;27045;11965;21717;36632;56278;32897;13.45;0.27;7.17;177.4281;"1439";"Ridici Pracovnici Cestovnich Kancelari,nemovitosti,opravarenskych,osobnich Aj. Sluzeb";"Soukroma sfera"
"21";"2111 Fyzici a astronomove";2856;43060;26982;33237;55319;71163;47194;19.08;1.13;5.85;171.7331;"2111";"Fyzici A Astronomove";"Soukroma sfera"
"22";"2113 Chemici (krome chemickeho inzenyrstvi)";2814;30056;19686;22887;40199;55902;34625;17.68;2.28;6.04;169.0339;"2113";"Chemici (krome Chemickeho Inzenyrstvi)";"Soukroma sfera"
"23";"2120 Specialiste v oblasti matematiky, statistiky a pojistne matematiky";526;44242;26885;32968;60671;80078;50554;16.11;0.81;5.62;172.1859;"2120";"Specialiste V Oblasti Matematiky, Statistiky A Pojistne Matematiky";"Soukroma sfera"
"24";"2131 Biologove, botanici, zoologove a pribuzni specialiste";4620;34819;21987;26273;48677;74689;44934;15.2;0.9;6.84;172.9539;"2131";"Biologove, Botanici, Zoologove A Pribuzni Specialiste";"Soukroma sfera"
"25";"2132 Specialiste v oblasti zemedelstvi, lesnictvi, rybarstvi a vodniho hospodarstvi";3161;30541;19426;27120;35644;43761;33423;17.56;0.43;7.37;172.6454;"2132";"Specialiste V Oblasti Zemedelstvi, Lesnictvi, Rybarstvi A Vodniho Hospodarstvi";"Soukroma sfera"
"26";"2141 Specialiste v oblasti prumysloveho inzenyrstvi a v pribuznych oblastech";12700;37907;25056;30742;50864;72099;45827;15.01;1.9;6.75;169.6411;"2141";"Specialiste V Oblasti Prumysloveho Inzenyrstvi A V Pribuznych Oblastech";"Soukroma sfera"
"27";"2142 Stavebni inzenyri";11221;31092;19022;24668;44198;62557;37577;18.29;1.3;6.93;172.8488;"2142";"Stavebni Inzenyri";"Soukroma sfera"
"28";"2144 Strojni inzenyri";18343;43123;25730;33282;56379;65386;45942;17.04;1.63;5.64;170.0077;"2144";"Strojni Inzenyri";"Soukroma sfera"
"29";"2145 Chemicti inzenyri a specialiste v prib.odorech (gumar.,plastik.,potrav.,vodar.apod.)";3845;40405;25290;29693;56084;69275;45614;15.4;1.35;6.08;169.0263;"2145";"Chemicti Inzenyri A Specialiste V Prib.odorech (gumar.,plastik.,potrav.,vodar.apod.)";"Soukroma sfera"
"30";"2146 Dulni, hutni, slevarensti inzenyri ";582;41609;27078;34272;52282;71460;45719;16.78;4.21;6.38;165.758;"2146";"Dulni, Hutni, Slevarensti Inzenyri";"Soukroma sfera"
"31";"2149 Inzenyri v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)";4684;37120;24169;30461;52456;70059;44194;14.38;1.61;6.49;170.1238;"2149";"Inzenyri V Ostatnich Oborech (textilni, Kozedelny, Polygraficky, Drevarsky Apod.)";"Soukroma sfera"
"32";"2151 Inzenyri elektrotechnici a energetici ";8964;41442;25261;31142;55098;75008;46880;15.94;3.75;6.7;169.6176;"2151";"Inzenyri Elektrotechnici A Energetici";"Soukroma sfera"
