"Povolani";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Kategorie_zamestnani_CZ_ISCO";"Dataset"
"142";"Prodavaci V Prodejnach";139.8461;15716.9544;11026.3625;12563.006;19911.2162;24712.1571;17318.7068;12.51;3.52;6.85;174.5195;"5223";"5223 Prodavaci v prodejnach";"Soukroma_sfera"
"215";"Ridici Nakladnich Automobilu, Tahacu A Specialnich Vozidel";101.9905;19063.6632;12147.5;14047.1428;24789.2053;29877.7562;20156.7221;17.92;2.09;7.24;179.1932;"8332";"8332 ridici nakladnich automobilu, tahacu a specialnich vozidel";"Soukroma_sfera"
"164";"Nastrojari A Pribuzni Pracovnici";86.6661;23208.3794;15115.3636;19052.2493;28789.9959;35798.38;24602.1782;15.92;4.66;7.74;173.6352;"7222";"7222 Nastrojari a pribuzni pracovnici";"Soukroma_sfera"
"94";"Odborni Pracovnici V Oblasti Ucetnictvi, Ekonomiky A Personalistiky";67.5195;26939.2366;16638.1986;21129.335;35152.992;46140.6714;30511.3485;15.7;1.02;6.67;171.9515;"3313";"3313 Odborni pracovnici v oblasti ucetnictvi, ekonomiky a personalistiky";"Soukroma_sfera"
"219";"Obsluha Vysokozdviznych A Jinych Voziku A Skladnici";65.6665;22394.9594;15169.0693;18844.0687;26805.8277;33217.8608;23400.1279;17.6;4.53;6.77;172.9468;"8344";"8344 Obsluha vysokozdviznych a jinych voziku a skladnici";"Soukroma_sfera"
"114";"Vseobecni Administrativni Pracovnici";64.0313;18957.8689;10814.3605;13020.5484;25610.3212;34906.4675;21541.868;12.31;0.74;6.72;173.3535;"4110";"4110 Vseobecni administrativni pracovnici";"Soukroma_sfera"
"165";"Serizovaci A Obsluha Obrabecich Stroju (krome Drevoobrabecich)";61.257;26313.8526;16921.8121;21238.0881;32454.3355;39927.1953;27551.5485;16.43;5.23;6.72;173.1928;"7223";"7223 Serizovaci a obsluha obrabecich stroju (krome drevoobrabecich)";"Soukroma_sfera"
"210";"Montazni Delnici Ostatnich Vyrobku";59.9803;21610.2229;14260.8333;17091.2188;27122.7037;35032.381;23067.7833;17.17;5.49;6.25;171.9029;"8219";"8219 Montazni delnici ostatnich vyrobku";"Soukroma_sfera"
"97";"Obchodni Zastupci";55.3119;27314.6742;11146.6971;18891.1772;44255.4287;62968.606;34522.154;24.03;0.76;6.15;172.2388;"3322";"3322 Obchodni zastupci";"Soukroma_sfera"
"225";"Manipulacni A Ostatni Pomocni Delnici Ve Vyrobe";54.8392;18123.0567;10949.0769;14034.244;22608.8124;27041.6798;18861.7046;14;4.96;6.88;172.1834;"9329";"9329 Manipulacni a ostatni pomocni delnici ve vyrobe";"Soukroma_sfera"
"70";"Strojirensti Technici";47.1499;30533.787;18790.659;24334.0853;39121.009;51022.404;33201.0228;16.62;2.15;5.82;171.8125;"3115";"3115 Strojirensti technici";"Soukroma_sfera"
"104";"Odborni Pracovnici V Administrative A Sprave Organizace";46.3857;27068.3322;16457.9075;20836.7846;35671.4215;46773.2353;30465.1403;15.28;1.67;6.68;171.6535;"3343";"3343 Odborni pracovnici v administrative a sprave organizace";"Soukroma_sfera"
"75";"Mistri A Pribuzni Pracovnici Ve Vyrobe (krome Hutni Vyroby A Slevarenstvi)";44.1474;31980.6948;19714.432;25647.4813;41042.1269;51832.3102;34565.8979;16.89;4.07;6.47;172.8503;"3122";"3122 Mistri a pribuzni pracovnici ve vyrobe (krome hutni vyroby a slevarenstvi)";"Soukroma_sfera"
"220";"Uklizeci A Pomocnici V Hotelich, Administrativnich, Prumyslovych A Jinych Objektech";42.8665;12111.5;10048.1666;10617.4932;14808.0585;18134.6018;13355.6895;10.71;1.33;6.29;172.5417;"9112";"9112 Uklizeci a pomocnici v hotelich, administrativnich, prumyslovych a jinych objektech";"Soukroma_sfera"
"375";"Policejni Inspektori, Komisari A Radove Policie CR";39.4367;34435.7364;25354.7654;29628.8844;39891.5819;45970.2559;35130.6731;0.82;19.25;10.32;167.796;"3355";"3355 Policejni inspektori, komisari a radove Policie cR";"Verejna_sfera"
"208";"Montazni Delnici Mechanickych Zarizeni";38.9551;23795.9768;16221.1007;19887.2652;28230.1373;32557.6737;24252.9066;15.34;8.9;6.12;170.7041;"8211";"8211 Montazni delnici mechanickych zarizeni";"Soukroma_sfera"
